cod.mun,departamento_y_municipio,t_2001,h_01,m_01,t_2012,h_12,m_12,tmn_2001_2012(%),tac_ 2001_2012(%),ind_mas,urbana,rural,pob_insrc_%,pob_ci_%,t_taf>15,h_>15,m_>15,t_ae(6_19),h_ae(6_19),m_ae(6_19),nin_(ni>19),prim_(ni>19),se_(ni>19),sup_(ni>19),ins_(ni>19),otro_(ni>19),t_aest,h_aest,m_aest,est_sal_ultpar,dom_ultpar,otro_ultpar,sinesp_ultpar
020101,La Paz,793293,379519,413774,766468,367742,398726,-5.2617716444,-0.3068314293,92.2292501618,99.0054379309,0.9945620691,99.5632891313,87.4714926129,98.1874015365,99.476677791,97.0417757227,92.0246835581,91.757328498,92.2970357991,2.9658248839,12.0867269431,36.9923114686,40.9341816875,6.2940428378,0.7269121791,12.046613545,12.7178493146,"11,5","83,8","14,9","1,3","0,0"
020102,Palca,14185,7223,6962,16622,8528,8094,-1.1324402707,1.4141315843,105.3619965406,0,100,97.8849050919,81.8373240284,91.0268926955,95.3536396489,86.4186217009,83.185483871,84.5848232022,81.743757675,14.4212136665,47.9449260581,34.0132585416,3.141254462,0.4181540031,0.0611932687,5.700204499,6.5622275069,"4,8","20,7","75,3","3,9","0,0"
020103,Mecapaca,11782,6069,5713,16086,8150,7936,1.4212700413,2.7773526252,102.6965725806,0,100,99.0535491905,86.0002486634,94.0263770365,97.4180397486,90.5320266013,89.66839612,90.5441570027,88.7722501141,9.219858156,35.5693459417,39.2139479905,13.780535855,1.8518518519,0.3644602049,7.8677243431,8.8232758621,"6,9","43,8","53,5","2,7","0,0"
020104,Achocalla,15110,7460,7650,22179,11037,11142,6.0949464012,3.4232452013,99.0576198169,84.4131836422,15.5868163578,99.2596605273,85.0218675324,94.8640681297,98.5030740444,91.3657972504,90.0997817275,90.3395061728,89.8550724638,8.3582089552,34.4402985075,43.2611940299,11.1417910448,2.2014925373,0.5970149254,7.9029199278,9.0482897384,"6,8","45,7","52,3","2,0","0,0"
020105,El Alto,649958,321527,328431,848452,408984,439468,0.6497940718,2.3771246858,93.0634312396,99.8147213985,0.1852786015,99.1572208464,80.3165058247,96.9735473168,99.1730884661,95.0121181293,91.3479236725,91.8857483265,90.8198916456,5.2102918543,22.9284516331,47.3864277796,19.8141748527,4.0241134118,0.6365404685,9.6408068397,10.6027995124,"8,8","63,5","34,6","1,9","0,0"
020201,Achacachi,45875,22602,23273,46058,22559,23499,-2.7576508723,0.035510401,95.99982978,20.1962742629,79.8037257371,98.9586956522,83.0735160016,88.0409055046,96.0551270704,80.6430905696,89.8133056749,90.289707381,89.3196560567,18.6804340217,29.7444872244,38.8344417221,11.8970948547,0.5880294015,0.2555127756,7.0078356629,8.7089307049,"5,5","22,9","75,9","1,2","0,0"
020202,Ancoraimes,15199,7400,7799,13136,6452,6684,-5.2233219662,-1.3011294704,96.5290245362,0,100,99.1919499924,86.4266138855,84.2116076014,94.1919191919,74.6939594622,91.1281489595,92.270531401,89.9385131358,25.3817242189,36.7629786234,32.4171952079,4.9565421658,0.2701432934,0.2114164905,5.4530992222,7.1039688337,"3,9","13,9","83,5","2,6","0,0"
020203,Chua Cocani,5540,2976,2564,5003,2524,2479,1.6740088106,-0.9094135306,101.8152480839,0,100,99.4196517911,86.6679992005,88.0915236609,96.3155163467,79.8332464825,87.1118012422,82.2857142857,92.8571428571,19.4021101993,27.9308323564,40.0058616647,10.6682297773,1.1723329426,0.8206330598,7.0559357334,9.0279635258,"5,2","26,1","70,9","2,9","0,0"
020204,Huarina,8290,3891,4399,7948,3793,4155,-1.9353092435,-0.3757795521,91.2876052948,0,100,99.609473419,86.7891293407,87.0165745856,96.2629757785,78.8296568627,91.9571045576,93.413830955,90.5660377358,19.207096307,36.8392469225,32.8385228096,10.0108616944,0.6517016655,0.452570601,6.3864382063,8.1242672919,"4,9","19,8","78,4","1,8","0,0"
020205,Santiago de Huata,7857,3761,4096,8562,4180,4382,-1.8627954779,0.7664518437,95.3902327704,0,100,99.6492458786,89.7687456202,86.8760430891,95.8516656191,78.4980932825,91.1642411642,92.2360248447,90.0835073069,18.487535553,28.5762088004,33.1102559813,18.738497574,0.8532708717,0.2342312197,7.4025688694,9.5529743048,"5,4","20,8","78,1","1,1","0,0"
020206,Huatajata,2809,1362,1447,3927,1921,2006,-2.4170064065,2.9884870545,95.7627118644,0,100,99.7960744328,89.0756302521,92.0330578512,98.1756756757,86.1488673139,94.1101152369,94.9868073879,93.2835820896,12.0702005731,21.8123209169,31.3753581662,31.1962750716,2.5071633238,1.0386819484,9.3119565217,11.3464100666,"7,4","39,8","57,2","3,0","0,0"
